time: 2000000000
60 2 5
60 3 5
60 4 5
61 1 5
61 2 5
61 3 5
61 4 5
62 1 5
62 2 5
62 3 5
62 4 5
63 1 5
63 2 5
63 3 5
63 4 5
64 1 5
64 2 5
64 3 5
64 4 5
64 5 5
65 1 5
65 2 5
65 3 5
65 4 5
65 5 5
66 1 5
66 2 5
66 3 5
66 4 5
66 5 5
67 1 5
67 2 5
67 3 5
67 4 5
67 5 5
68 1 5
68 2 5
68 3 5
68 4 5
68 5 5
69 1 5
69 2 5
69 3 5
69 4 5
69 5 5
70 1 5
70 2 5
70 3 5
70 4 5
70 5 5
71 1 5
71 2 5
71 3 5
71 4 5
71 5 5
72 1 5
72 2 5
72 3 5
72 4 5
72 5 5
73 1 5
73 2 5
73 3 5
73 4 5
73 5 5
time: 2500000000
32 1 6
32 2 6
32 3 6
32 4 6
33 1 6
33 2 6
33 3 6
33 4 6
34 1 6
34 2 6
34 3 6
34 4 6
35 1 6
35 2 6
35 3 6
35 4 6
36 1 6
36 2 6
36 3 6
36 4 6
37 1 6
37 2 6
37 3 6
37 4 6
38 1 6
38 2 6
38 3 6
38 4 6
39 1 6
39 2 6
39 3 6
39 4 6
40 1 6
40 2 6
40 3 6
40 4 6
41 1 6
41 2 6
41 3 6
41 4 6
42 1 6
42 2 6
42 3 6
42 4 6
43 1 6
43 2 6
43 3 6
43 4 6
44 1 6
44 2 6
44 3 6
44 4 6
45 1 6
45 2 6
45 3 6
45 4 6
46 1 6
46 2 6
46 3 6
46 4 6
47 1 6
47 2 6
47 3 6
47 4 6
48 1 6
48 2 6
48 3 6
48 4 6
49 1 6
49 2 6
49 3 6
49 4 6
50 1 6
50 2 6
50 3 6
50 4 6
51 1 6
51 2 6
51 3 6
51 4 6
52 1 6
52 2 6
52 3 6
52 4 6
53 1 6
53 2 6
53 3 6
53 4 6
54 1 6
54 2 6
54 3 6
54 4 6
55 1 6
55 2 6
55 3 6
55 4 6
56 1 6
56 2 6
56 3 6
56 4 6
57 1 6
57 2 6
57 3 6
57 4 6
58 1 6
58 2 6
58 3 6
58 4 6
59 1 6
59 2 6
59 3 6
59 4 6
60 1 6
60 2 6
60 3 6
60 4 6
61 1 6
61 2 6
61 3 6
61 4 6
62 1 6
62 2 6
62 3 6
62 4 6
63 1 6
63 2 6
63 3 6
63 4 6
64 1 6
64 2 6
64 3 6
64 4 6
64 5 6
65 1 6
65 2 6
65 3 6
65 4 6
65 5 6
66 1 6
66 2 6
66 3 6
66 4 6
66 5 6
67 1 6
67 2 6
67 3 6
67 4 6
67 5 6
68 1 6
68 2 6
68 3 6
68 4 6
68 5 6
69 1 6
69 2 6
69 3 6
69 4 6
69 5 6
70 1 6
70 2 6
70 3 6
70 4 6
70 5 6
71 1 6
71 2 6
71 3 6
71 4 6
71 5 6
72 1 6
72 2 6
72 3 6
72 4 6
72 5 6
73 1 6
73 2 6
73 3 6
73 4 6
73 5 6
time: 2600000000
32 1 7
32 2 7
32 3 7
32 4 7
33 1 7
33 2 7
33 3 7
33 4 7
34 1 7
34 2 7
34 3 7
34 4 7
35 1 7
35 2 7
35 3 7
35 4 7
36 1 7
36 2 7
36 3 7
36 4 7
37 1 7
37 2 7
37 3 7
37 4 7
38 1 7
38 2 7
38 3 7
38 4 7
39 1 7
39 2 7
39 3 7
39 4 7
40 1 7
40 2 7
40 3 7
40 4 7
41 1 7
41 2 7
41 3 7
41 4 7
42 1 7
42 2 7
42 3 7
42 4 7
43 1 7
43 2 7
43 3 7
43 4 7
44 1 7
44 2 7
44 3 7
44 4 7
45 1 7
45 2 7
45 3 7
45 4 7
46 1 7
46 2 7
46 3 7
46 4 7
47 1 7
47 2 7
47 3 7
47 4 7
48 1 7
48 2 7
48 3 7
48 4 7
49 1 7
49 2 7
49 3 7
49 4 7
50 1 7
50 2 7
50 3 7
50 4 7
51 1 7
51 2 7
51 3 7
51 4 7
52 1 7
52 2 7
52 3 7
52 4 7
53 1 7
53 2 7
53 3 7
53 4 7
54 1 7
54 2 7
54 3 7
54 4 7
55 1 7
55 2 7
55 3 7
55 4 7
56 1 7
56 2 7
56 3 7
56 4 7
57 1 7
57 2 7
57 3 7
57 4 7
58 1 7
58 2 7
58 3 7
58 4 7
59 1 7
59 2 7
59 3 7
59 4 7
60 1 7
60 2 7
60 3 7
60 4 7
61 1 7
61 2 7
61 3 7
61 4 7
62 1 7
62 2 7
62 3 7
62 4 7
63 1 7
63 2 7
63 3 7
63 4 7
64 1 7
64 2 7
64 3 7
64 4 7
64 5 7
65 1 7
65 2 7
65 3 7
65 4 7
65 5 7
66 1 7
66 2 7
66 3 7
66 4 7
66 5 7
67 1 7
67 2 7
67 3 7
67 4 7
67 5 7
68 1 7
68 2 7
68 3 7
68 4 7
68 5 7
69 1 7
69 2 7
69 3 7
69 4 7
69 5 7
70 1 7
70 2 7
70 3 7
70 4 7
70 5 7
71 1 7
71 2 7
71 3 7
71 4 7
71 5 7
72 1 7
72 2 7
72 3 7
72 4 7
72 5 7
73 1 7
73 2 7
73 3 7
73 4 7
73 5 7
time: 2700000000
32 1 8
32 2 8
32 3 8
32 4 8
33 1 8
33 2 8
33 3 8
33 4 8
34 1 8
34 2 8
34 3 8
34 4 8
35 1 8
35 2 8
35 3 8
35 4 8
36 1 8
36 2 8
36 3 8
36 4 8
37 1 8
37 2 8
37 3 8
37 4 8
38 1 8
38 2 8
38 3 8
38 4 8
39 1 8
39 2 8
39 3 8
39 4 8
40 1 8
40 2 8
40 3 8
40 4 8
41 1 8
41 2 8
41 3 8
41 4 8
42 1 8
42 2 8
42 3 8
42 4 8
43 1 8
43 2 8
43 3 8
43 4 8
44 1 8
44 2 8
44 3 8
44 4 8
45 1 8
45 2 8
45 3 8
45 4 8
46 1 8
46 2 8
46 3 8
46 4 8
47 1 8
47 2 8
47 3 8
47 4 8
48 1 8
48 2 8
48 3 8
48 4 8
49 1 8
49 2 8
49 3 8
49 4 8
50 1 8
50 2 8
50 3 8
50 4 8
51 1 8
51 2 8
51 3 8
51 4 8
52 1 8
52 2 8
52 3 8
52 4 8
53 1 8
53 2 8
53 3 8
53 4 8
54 1 8
54 2 8
54 3 8
54 4 8
55 1 8
55 2 8
55 3 8
55 4 8
56 1 8
56 2 8
56 3 8
56 4 8
57 1 8
57 2 8
57 3 8
57 4 8
58 1 8
58 2 8
58 3 8
58 4 8
59 1 8
59 2 8
59 3 8
59 4 8
60 1 8
60 2 8
60 3 8
60 4 8
61 1 8
61 2 8
61 3 8
61 4 8
62 1 8
62 2 8
62 3 8
62 4 8
63 1 8
63 2 8
63 3 8
63 4 8
64 1 8
64 2 8
64 3 8
64 4 8
64 5 8
65 1 8
65 2 8
65 3 8
65 4 8
65 5 8
66 1 8
66 2 8
66 3 8
66 4 8
66 5 8
67 1 8
67 2 8
67 3 8
67 4 8
67 5 8
68 1 8
68 2 8
68 3 8
68 4 8
68 5 8
69 1 8
69 2 8
69 3 8
69 4 8
69 5 8
70 1 8
70 2 8
70 3 8
70 4 8
70 5 8
71 1 8
71 2 8
71 3 8
71 4 8
71 5 8
72 1 8
72 2 8
72 3 8
72 4 8
72 5 8
73 1 8
73 2 8
73 3 8
73 4 8
73 5 8
time: 2800000000
32 1 9
32 2 9
32 3 9
32 4 9
33 1 9
33 2 9
33 3 9
33 4 9
34 1 9
34 2 9
34 3 9
34 4 9
35 1 9
35 2 9
35 3 9
35 4 9
36 1 9
36 2 9
36 3 9
36 4 9
37 1 9
37 2 9
37 3 9
37 4 9
38 1 9
38 2 9
38 3 9
38 4 9
39 1 9
39 2 9
39 3 9
39 4 9
40 1 9
40 2 9
40 3 9
40 4 9
41 1 9
41 2 9
41 3 9
41 4 9
42 1 9
42 2 9
42 3 9
42 4 9
43 1 9
43 2 9
43 3 9
43 4 9
44 1 9
44 2 9
44 3 9
44 4 9
45 1 9
45 2 9
45 3 9
45 4 9
46 1 9
46 2 9
46 3 9
46 4 9
47 1 9
47 2 9
47 3 9
47 4 9
48 1 9
48 2 9
48 3 9
48 4 9
49 1 9
49 2 9
49 3 9
49 4 9
50 1 9
50 2 9
50 3 9
50 4 9
51 1 9
51 2 9
51 3 9
51 4 9
52 1 9
52 2 9
52 3 9
52 4 9
53 1 9
53 2 9
53 3 9
53 4 9
54 1 9
54 2 9
54 3 9
54 4 9
55 1 9
55 2 9
55 3 9
55 4 9
56 1 9
56 2 9
56 3 9
56 4 9
57 1 9
57 2 9
57 3 9
57 4 9
58 1 9
58 2 9
58 3 9
58 4 9
59 1 9
59 2 9
59 3 9
59 4 9
60 1 9
60 2 9
60 3 9
60 4 9
61 1 9
61 2 9
61 3 9
61 4 9
62 1 9
62 2 9
62 3 9
62 4 9
63 1 9
63 2 9
63 3 9
63 4 9
64 1 9
64 2 9
64 3 9
64 4 9
64 5 9
65 1 9
65 2 9
65 3 9
65 4 9
65 5 9
66 1 9
66 2 9
66 3 9
66 4 9
66 5 9
67 1 9
67 2 9
67 3 9
67 4 9
67 5 9
68 1 9
68 2 9
68 3 9
68 4 9
68 5 9
69 1 9
69 2 9
69 3 9
69 4 9
69 5 9
70 1 9
70 2 9
70 3 9
70 4 9
70 5 9
71 1 9
71 2 9
71 3 9
71 4 9
71 5 9
72 1 9
72 2 9
72 3 9
72 4 9
72 5 9
73 1 9
73 2 9
73 3 9
73 4 9
73 5 9
time: 2900000000
32 1 10
32 2 10
32 3 10
32 4 10
33 1 10
33 2 10
33 3 10
33 4 10
34 1 10
34 2 10
34 3 10
34 4 10
35 1 10
35 2 10
35 3 10
35 4 10
36 1 10
36 2 10
36 3 10
36 4 10
37 1 10
37 2 10
37 3 10
37 4 10
38 1 10
38 2 10
38 3 10
38 4 10
39 1 10
39 2 10
39 3 10
39 4 10
40 1 10
40 2 10
40 3 10
40 4 10
41 1 10
41 2 10
41 3 10
41 4 10
42 1 10
42 2 10
42 3 10
42 4 10
43 1 10
43 2 10
43 3 10
43 4 10
44 1 10
44 2 10
44 3 10
44 4 10
45 1 10
45 2 10
45 3 10
45 4 10
46 1 10
46 2 10
46 3 10
46 4 10
47 1 10
47 2 10
47 3 10
47 4 10
48 1 10
48 2 10
48 3 10
48 4 10
49 1 10
49 2 10
49 3 10
49 4 10
50 1 10
50 2 10
50 3 10
50 4 10
51 1 10
51 2 10
51 3 10
51 4 10
52 1 10
52 2 10
52 3 10
52 4 10
53 1 10
53 2 10
53 3 10
53 4 10
54 1 10
54 2 10
54 3 10
54 4 10
55 1 10
55 2 10
55 3 10
55 4 10
56 1 10
56 2 10
56 3 10
56 4 10
57 1 10
57 2 10
57 3 10
57 4 10
58 1 10
58 2 10
58 3 10
58 4 10
59 1 10
59 2 10
59 3 10
59 4 10
60 1 10
60 2 10
60 3 10
60 4 10
61 1 10
61 2 10
61 3 10
61 4 10
62 1 10
62 2 10
62 3 10
62 4 10
63 1 10
